ID,ave,max,min,month
010620,28.1,9999.9,17.6,1977-10
010620,36.25806,45.5,29.5,1983-8
010620,19.66333,38.8,-9.0,1986-11
010620,28.89355,36.5,17.4,1986-10
010620,9.2129,34.7,-16.2,1986-12
010620,15.79355,37.4,-20.2,1977-12
010620,-0.89677,32.0,-22.0,1980-12
010620,5.2,37.4,-22.0,1980-11
010620,26.96452,38.3,12.7,1985-10
010620,17.13667,35.8,-2.6,1985-11
010620,10.37742,30.6,-17.3,1985-12
010620,34.92258,41.0,26.6,1977-8
010620,38.95161,57.4,33.1,1996-8
010620,31.49,44.2,22.6,1991-6
010620,29.81935,9999.9,19.4,1981-10
010620,25.34333,9999.9,8.6,1981-11
010620,0.06129,32.0,-20.2,1981-12
010620,32.54667,42.8,28.4,1974-6
010620,35.5,50.0,28.4,1974-7
010620,34.43,42.6,28.4,1991-9
010620,12.52667,33.8,-7.6,1974-4
010620,36.56452,44.4,28.4,1996-7
010620,24.01,9999.9,8.6,1974-5
010620,19.96333,34.7,-3.8,1982-11
010620,24.81935,42.4,0.0,1982-10
010620,11.66774,34.3,-10.1,1982-12
010620,18.97143,33.8,-14.8,1974-2
010620,19.99677,32.0,-10.5,1996-5
010620,-2.56429,9999.9,-25.6,1979-2
010620,0.1129,9999.9,-25.6,1979-1
010620,27.98333,35.1,14.5,2007-11
010620,37.09355,46.4,30.2,1974-8
010620,35.40333,9999.9,28.4,1974-9
010620,4.99355,33.4,-29.9,1995-1
010620,11.4129,33.1,-19.3,1995-3
010620,12.60714,32.0,-18.9,1995-2
010620,26.42258,39.7,1.4,1995-5
010620,20.51,34.9,0.0,1995-4
010620,35.95806,41.9,29.1,1995-7
010620,33.08,41.7,25.5,1995-6
010620,34.12333,42.6,26.1,1995-9
010620,35.55806,47.3,26.6,1995-8
010620,23.6129,35.8,1.2,1991-5
010620,14.12667,37.9,-9.0,1991-4
010620,37.50645,48.2,30.4,1991-7
010620,35.06333,41.9,26.6,1996-9
010620,17.66452,36.3,-6.7,1991-1
010620,16.1129,37.0,-13.2,1991-3
010620,21.63214,36.3,-6.9,1991-2
010620,7.90345,37.0,-17.5,1996-2
010620,17.47097,37.0,-15.7,1996-3
010620,17.20968,38.3,-22.9,1996-1
010620,30.89,39.6,18.0,1996-6
010620,41.14839,48.0,32.7,1991-8
010620,26.62333,37.0,7.0,1958-10
010620,19.50667,41.0,-9.0,1958-11
010620,24.86957,9999.9,7.0,1955-5
010620,19.44737,34.0,-6.0,1955-4
010620,30.34,9999.9,23.0,1955-6
010620,5.04545,32.0,-11.0,1955-1
010620,17.2,9999.9,-8.0,1955-3
010620,10.41053,32.0,-15.0,1955-2
010620,38.53333,45.0,31.6,1992-8
010620,37.04667,42.8,28.0,1992-9
010620,33.05333,45.3,25.2,1992-6
010620,37.89032,47.1,28.4,1992-7
010620,23.18,35.2,0.0,1992-4
010620,28.60645,39.0,17.4,1992-5
010620,3.66552,31.6,-28.7,1992-2
010620,14.07419,34.9,-15.3,1992-3
010620,12.65161,34.9,-21.6,1992-1
010620,34.77333,44.6,24.8,1973-9
010620,38.04839,9999.9,32.0,1973-8
010620,21.59032,37.4,1.4,1973-1
010620,8.77742,9999.9,-16.6,1973-3
010620,5.73704,32.0,-7.6,1973-2
010620,25.9129,39.2,12.2,1973-5
010620,21.04667,33.8,1.4,1973-4
010620,39.52258,51.8,33.8,1973-7
010620,33.91,9999.9,26.6,1973-6
010620,37.61613,9999.9,28.4,1978-8
010620,32.34667,9999.9,23.0,1978-9
010620,-5.28571,28.4,-29.2,1978-2
010620,5.46452,35.6,-23.8,1978-3
010620,-3.18065,28.4,-20.2,1978-1
010620,30.28,55.4,19.4,1978-6
010620,34.88065,48.2,26.6,1978-7
010620,10.14,33.8,-11.2,1978-4
010620,25.09677,37.4,1.4,1978-5
010620,-0.58387,36.3,-17.1,2003-12
010620,27.22258,39.9,7.9,2003-10
010620,24.56667,38.8,7.5,2003-11
010620,28.99032,40.3,9.9,2001-10
010620,19.35333,38.3,0.7,2001-11
010620,15.62581,39.7,-15.2,2001-12
010620,24.39677,34.9,-0.9,2004-12
010620,14.88,36.0,-4.4,2004-11
010620,29.70323,43.2,20.1,2004-10
010620,38.25333,50.4,31.5,1999-9
010620,38.31613,50.0,32.4,1999-8
010620,25.39032,39.6,7.5,1999-5
010620,17.38,35.4,-4.7,1999-4
010620,37.49355,46.0,31.8,1999-7
010620,35.40667,45.7,23.2,1999-6
010620,17.72667,32.5,-6.5,1999-1
010620,24.51613,38.1,3.0,1999-3
010620,13.96429,34.3,-12.1,1999-2
010620,35.60323,42.8,25.9,1997-7
010620,31.65333,42.3,23.5,1997-6
010620,24.34839,36.9,12.2,1997-5
010620,6.24333,31.5,-14.1,1997-4
010620,38.0129,50.0,29.7,1994-8
010620,5.34286,31.8,-17.0,1997-2
010620,-0.46452,34.3,-21.6,1997-1
010620,22.5,37.9,0.9,1994-4
010620,23.03548,35.6,1.8,1994-5
010620,32.44,39.2,21.4,1994-6
010620,39.07097,59.0,31.6,1994-7
010620,5.02258,28.2,-18.9,1994-1
010620,6.74286,35.2,-23.8,1994-2
010620,16.73548,32.9,-15.7,1994-3
010620,22.89677,31.6,-8.1,1990-1
010620,20.04286,32.7,-8.7,1990-2
010620,12.79355,33.4,-18.6,1990-3
010620,22.35517,37.4,-6.9,1990-4
010620,25.54516,41.0,10.6,1990-5
010620,33.22667,42.3,26.4,1990-6
010620,39.60645,54.5,32.0,1990-7
010620,38.7129,50.4,32.4,1990-8
010620,40.57,50.7,30.7,1990-9
